"No.","Time","Source","Destination","Protocol","Length","Info","src_port","dst_port"
"16230","211.053018186","127.0.0.1","127.0.0.1","TCP","262","36612  >  8080 [PSH, ACK] Seq=47132 Ack=49434 Win=77696 Len=196 TSval=95923321 TSecr=95923321","36612","8080"
"16231","211.053453434","127.0.0.1","127.0.0.1","TCP","263","36744  >  8080 [PSH, ACK] Seq=47629 Ack=45959 Win=77696 Len=197 TSval=95923322 TSecr=95922320","36744","8080"
"16232","211.053490660","127.0.0.1","127.0.0.1","TCP","269","8080  >  36658 [PSH, ACK] Seq=48293 Ack=47269 Win=59904 Len=203 TSval=95923322 TSecr=95922363","8080","36658"
"16233","211.053518736","127.0.0.1","127.0.0.1","TCP","311","36716  >  8080 [PSH, ACK] Seq=48911 Ack=51356 Win=77696 Len=245 TSval=95923322 TSecr=95923318","36716","8080"
"16234","211.053546882","127.0.0.1","127.0.0.1","TCP","66","36658  >  8080 [ACK] Seq=47269 Ack=48496 Win=77696 Len=0 TSval=95923322 TSecr=95923322","36658","8080"
"16235","211.053782176","127.0.0.1","127.0.0.1","TCP","278","36694  >  8080 [PSH, ACK] Seq=49612 Ack=47770 Win=77696 Len=212 TSval=95923322 TSecr=95922363","36694","8080"
"16236","211.053812207","127.0.0.1","127.0.0.1","TCP","66","8080  >  36694 [ACK] Seq=47770 Ack=49824 Win=59776 Len=0 TSval=95923322 TSecr=95923322","8080","36694"
"16237","211.053836442","127.0.0.1","127.0.0.1","TCP","246","36710  >  8080 [PSH, ACK] Seq=46590 Ack=70557 Win=1233280 Len=180 TSval=95923322 TSecr=95922320","36710","8080"
"16238","211.054026828","127.0.0.1","127.0.0.1","TCP","270","8080  >  36678 [PSH, ACK] Seq=50128 Ack=47538 Win=59904 Len=204 TSval=95923322 TSecr=95923320","8080","36678"
"16239","211.054051203","127.0.0.1","127.0.0.1","TCP","66","36678  >  8080 [ACK] Seq=47538 Ack=50332 Win=77568 Len=0 TSval=95923322 TSecr=95923322","36678","8080"
"16240","211.054064543","127.0.0.1","127.0.0.1","TCP","295","36602  >  8080 [PSH, ACK] Seq=47320 Ack=51594 Win=77696 Len=229 TSval=95923322 TSecr=95923318","36602","8080"
