"No.","Time","Source","Destination","Protocol","Length","Info","src_port","dst_port"
"1319","40.610050225","127.0.0.1","127.0.0.1","TCP","658","8080  >  47832 [PSH, ACK] Seq=8757 Ack=6632 Win=85248 Len=592 TSval=514794967 TSecr=514794962","8080","47832"
"1320","40.610095413","127.0.0.1","127.0.0.1","TCP","66","47832  >  8080 [ACK] Seq=6632 Ack=9349 Win=75392 Len=0 TSval=514794967 TSecr=514794967","47832","8080"
"1321","40.611638835","127.0.0.1","127.0.0.1","TCP","558","8080  >  47766 [PSH, ACK] Seq=7557 Ack=6535 Win=85120 Len=492 TSval=514794968 TSecr=514794935","8080","47766"
"1322","40.612920283","127.0.0.1","127.0.0.1","TCP","658","8080  >  47802 [PSH, ACK] Seq=9053 Ack=6435 Win=85120 Len=592 TSval=514794970 TSecr=514794932","8080","47802"
"1323","40.612978181","127.0.0.1","127.0.0.1","TCP","66","47802  >  8080 [ACK] Seq=6435 Ack=9645 Win=75392 Len=0 TSval=514794970 TSecr=514794970","47802","8080"
"1324","40.614758924","127.0.0.1","127.0.0.1","TCP","583","47870  >  8080 [PSH, ACK] Seq=6184 Ack=7689 Win=72704 Len=517 TSval=514794972 TSecr=514794964","47870","8080"
"1325","40.616387623","127.0.0.1","127.0.0.1","TCP","590","8080  >  47796 [PSH, ACK] Seq=7549 Ack=6619 Win=85120 Len=524 TSval=514794973 TSecr=514794960","8080","47796"
"1326","40.616438188","127.0.0.1","127.0.0.1","TCP","66","47796  >  8080 [ACK] Seq=6619 Ack=8073 Win=75520 Len=0 TSval=514794973 TSecr=514794973","47796","8080"
"1327","40.616457674","127.0.0.1","127.0.0.1","TCP","681","47810  >  8080 [PSH, ACK] Seq=6347 Ack=8405 Win=73344 Len=615 TSval=514794973 TSecr=514794966","47810","8080"
"1328","40.617642461","127.0.0.1","127.0.0.1","TCP","688","8080  >  47766 [PSH, ACK] Seq=8049 Ack=6535 Win=85120 Len=622 TSval=514794974 TSecr=514794935","8080","47766"
"1329","40.617663972","127.0.0.1","127.0.0.1","TCP","66","8080  >  47828 [ACK] Seq=8127 Ack=6512 Win=85120 Len=0 TSval=514794975 TSecr=514794934","8080","47828"
"1330","40.617735350","127.0.0.1","127.0.0.1","TCP","66","47766  >  8080 [ACK] Seq=6535 Ack=8671 Win=75520 Len=0 TSval=514794975 TSecr=514794968","47766","8080"
"1331","40.621661967","127.0.0.1","127.0.0.1","TCP","66","8080  >  47918 [ACK] Seq=10891 Ack=6164 Win=85248 Len=0 TSval=514794979 TSecr=514794938","8080","47918"
"1332","40.628173339","127.0.0.1","127.0.0.1","TCP","66","8080  >  47900 [ACK] Seq=7621 Ack=6765 Win=83968 Len=0 TSval=514794985 TSecr=514794944","8080","47900"
"1333","40.629646082","127.0.0.1","127.0.0.1","TCP","66","8080  >  47922 [ACK] Seq=6043 Ack=6628 Win=85120 Len=0 TSval=514794987 TSecr=514794946","8080","47922"
"1334","40.630646349","127.0.0.1","127.0.0.1","TCP","66","8080  >  47904 [ACK] Seq=10039 Ack=6804 Win=85120 Len=0 TSval=514794988 TSecr=514794947","8080","47904"
"1335","40.633648267","127.0.0.1","127.0.0.1","TCP","66","8080  >  47782 [ACK] Seq=7421 Ack=6512 Win=85120 Len=0 TSval=514794991 TSecr=514794950","8080","47782"
"1336","40.644655811","127.0.0.1","127.0.0.1","TCP","66","8080  >  47898 [ACK] Seq=5979 Ack=6728 Win=84608 Len=0 TSval=514795002 TSecr=514794961","8080","47898"
"1337","40.647645437","127.0.0.1","127.0.0.1","TCP","66","8080  >  47864 [ACK] Seq=9641 Ack=6697 Win=85120 Len=0 TSval=514795005 TSecr=514794964","8080","47864"
"1338","40.647651513","127.0.0.1","127.0.0.1","TCP","66","47926  >  8080 [ACK] Seq=6743 Ack=6687 Win=75520 Len=0 TSval=514795005 TSecr=514794963","47926","8080"
"1339","40.650628148","127.0.0.1","127.0.0.1","TCP","66","8080  >  47848 [ACK] Seq=8529 Ack=6651 Win=85120 Len=0 TSval=514795008 TSecr=514794965","8080","47848"
"1340","40.655641425","127.0.0.1","127.0.0.1","TCP","66","8080  >  47870 [ACK] Seq=7689 Ack=6701 Win=85120 Len=0 TSval=514795013 TSecr=514794972","8080","47870"
"1341","40.656615292","127.0.0.1","127.0.0.1","TCP","66","8080  >  47810 [ACK] Seq=8405 Ack=6962 Win=85120 Len=0 TSval=514795014 TSecr=514794973","8080","47810"
"1342","41.566323998","127.0.0.1","127.0.0.1","TCP","583","47828  >  8080 [PSH, ACK] Seq=6512 Ack=8127 Win=75520 Len=517 TSval=514795923 TSecr=514794975","47828","8080"
"1343","41.566366461","127.0.0.1","127.0.0.1","TCP","66","8080  >  47828 [ACK] Seq=8127 Ack=7029 Win=85120 Len=0 TSval=514795923 TSecr=514795923","8080","47828"
"1344","41.567832779","127.0.0.1","127.0.0.1","TCP","590","8080  >  47870 [PSH, ACK] Seq=7689 Ack=6701 Win=85120 Len=524 TSval=514795925 TSecr=514794972","8080","47870"
"1345","41.568991306","127.0.0.1","127.0.0.1","TCP","116","47766  >  8080 [PSH, ACK] Seq=6535 Ack=8671 Win=75520 Len=50 TSval=514795926 TSecr=514794968","47766","8080"
"1346","41.569102842","127.0.0.1","127.0.0.1","TCP","585","47812  >  8080 [PSH, ACK] Seq=6729 Ack=7421 Win=75520 Len=519 TSval=514795926 TSecr=514794935","47812","8080"
"1347","41.569670931","127.0.0.1","127.0.0.1","TCP","615","47750  >  8080 [PSH, ACK] Seq=6634 Ack=7193 Win=75520 Len=549 TSval=514795927 TSecr=514794955","47750","8080"
"1348","41.571028436","127.0.0.1","127.0.0.1","TCP","506","8080  >  47766 [PSH, ACK] Seq=8671 Ack=6585 Win=85120 Len=440 TSval=514795928 TSecr=514795926","8080","47766"
"1349","41.571905014","127.0.0.1","127.0.0.1","TCP","116","47796  >  8080 [PSH, ACK] Seq=6619 Ack=8073 Win=75520 Len=50 TSval=514795929 TSecr=514794973","47796","8080"
"1350","41.572053427","127.0.0.1","127.0.0.1","TCP","590","8080  >  47782 [PSH, ACK] Seq=7421 Ack=6512 Win=85120 Len=524 TSval=514795929 TSecr=514794950","8080","47782"
"1351","41.572783478","127.0.0.1","127.0.0.1","TCP","622","8080  >  47766 [PSH, ACK] Seq=9111 Ack=6585 Win=85120 Len=556 TSval=514795930 TSecr=514795926","8080","47766"
"1352","41.575516996","127.0.0.1","127.0.0.1","TCP","506","8080  >  47796 [PSH, ACK] Seq=8073 Ack=6669 Win=85120 Len=440 TSval=514795932 TSecr=514795929","8080","47796"
"1353","41.575566513","127.0.0.1","127.0.0.1","TCP","66","47796  >  8080 [ACK] Seq=6669 Ack=8513 Win=75520 Len=0 TSval=514795932 TSecr=514795932","47796","8080"
"1354","41.577290266","127.0.0.1","127.0.0.1","TCP","116","47802  >  8080 [PSH, ACK] Seq=6435 Ack=9645 Win=75520 Len=50 TSval=514795934 TSecr=514794970","47802","8080"
"1355","41.579014577","127.0.0.1","127.0.0.1","TCP","683","47766  >  8080 [PSH, ACK] Seq=6585 Ack=9667 Win=75520 Len=617 TSval=514795936 TSecr=514795928","47766","8080"
"1356","41.579121434","127.0.0.1","127.0.0.1","TCP","506","8080  >  47802 [PSH, ACK] Seq=9645 Ack=6485 Win=85120 Len=440 TSval=514795936 TSecr=514795934","8080","47802"
"1357","41.579203148","127.0.0.1","127.0.0.1","TCP","66","47802  >  8080 [ACK] Seq=6485 Ack=10085 Win=75520 Len=0 TSval=514795936 TSecr=514795936","47802","8080"
"1358","41.584333689","127.0.0.1","127.0.0.1","TCP","688","8080  >  47900 [PSH, ACK] Seq=7621 Ack=6765 Win=83968 Len=622 TSval=514795941 TSecr=514794944","8080","47900"
"1359","41.586062121","127.0.0.1","127.0.0.1","TCP","715","47796  >  8080 [PSH, ACK] Seq=6669 Ack=8513 Win=75520 Len=649 TSval=514795943 TSecr=514795932","47796","8080"
"1360","41.586642292","127.0.0.1","127.0.0.1","TCP","116","47918  >  8080 [PSH, ACK] Seq=6164 Ack=10891 Win=75520 Len=50 TSval=514795943 TSecr=514794979","47918","8080"
"1361","41.586694743","127.0.0.1","127.0.0.1","TCP","66","8080  >  47918 [ACK] Seq=10891 Ack=6214 Win=85248 Len=0 TSval=514795944 TSecr=514795943","8080","47918"
"1362","41.587234965","127.0.0.1","127.0.0.1","TCP","617","47782  >  8080 [PSH, ACK] Seq=6512 Ack=7945 Win=75520 Len=551 TSval=514795944 TSecr=514795929","47782","8080"
"1363","41.587286159","127.0.0.1","127.0.0.1","TCP","66","8080  >  47782 [ACK] Seq=7945 Ack=7063 Win=85120 Len=0 TSval=514795944 TSecr=514795944","8080","47782"
"1364","41.587482692","127.0.0.1","127.0.0.1","TCP","651","47904  >  8080 [PSH, ACK] Seq=6804 Ack=10039 Win=75520 Len=585 TSval=514795944 TSecr=514794988","47904","8080"
"1365","41.587519359","127.0.0.1","127.0.0.1","TCP","66","8080  >  47904 [ACK] Seq=10039 Ack=7389 Win=85120 Len=0 TSval=514795944 TSecr=514795944","8080","47904"
"1366","41.588187111","127.0.0.1","127.0.0.1","TCP","720","8080  >  47926 [PSH, ACK] Seq=6687 Ack=6743 Win=83584 Len=654 TSval=514795945 TSecr=514795005","8080","47926"
