"No.","Time","Source","Destination","Protocol","Length","Info","src_port","dst_port"
"8648","7.679665828","127.0.0.1","127.0.0.1","TCP","66","60018  >  4444 [ACK] Seq=616 Ack=226 Win=630 Len=0 TSval=449047989 TSecr=449047989","60018","4444"
"8651","7.682683436","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","59938","4444"
"8655","7.683481855","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","59944","4444"
"8691","7.687123140","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","59938"
"8692","7.687152194","127.0.0.1","127.0.0.1","TCP","66","59938  >  4444 [ACK] Seq=821 Ack=301 Win=630 Len=0 TSval=449047997 TSecr=449047997","59938","4444"
"8695","7.687653301","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","59944"
"8696","7.687672926","127.0.0.1","127.0.0.1","TCP","66","59944  >  4444 [ACK] Seq=411 Ack=151 Win=630 Len=0 TSval=449047997 TSecr=449047997","59944","4444"
"8704","7.695203012","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","59916","4444"
"8724","7.698692673","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","59916"
"8725","7.698704686","127.0.0.1","127.0.0.1","TCP","66","59916  >  4444 [ACK] Seq=821 Ack=301 Win=630 Len=0 TSval=449048008 TSecr=449048008","59916","4444"
"8741","7.775569280","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","43006","4444"
"8761","7.781733352","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","43006"
"8762","7.781756678","127.0.0.1","127.0.0.1","TCP","66","43006  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449048091 TSecr=449048091","43006","4444"
"8765","7.788253052","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","60398","4444"
"8766","7.788448187","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","60428","4444"
"8776","7.790773464","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","60400","4444"
"8823","7.794272693","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","60398"
"8824","7.794297067","127.0.0.1","127.0.0.1","TCP","66","60398  >  4444 [ACK] Seq=616 Ack=226 Win=630 Len=0 TSval=449048104 TSecr=449048104","60398","4444"
"8829","7.794932059","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","60428"
"8830","7.794960205","127.0.0.1","127.0.0.1","TCP","66","60428  >  4444 [ACK] Seq=821 Ack=301 Win=630 Len=0 TSval=449048105 TSecr=449048105","60428","4444"
"8835","7.795253815","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","59996","4444"
"8843","7.796686667","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","60400"
"8844","7.796709505","127.0.0.1","127.0.0.1","TCP","66","60400  >  4444 [ACK] Seq=616 Ack=226 Win=630 Len=0 TSval=449048106 TSecr=449048106","60400","4444"
"8862","7.800785689","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","59996"
"8863","7.800814533","127.0.0.1","127.0.0.1","TCP","66","59996  >  4444 [ACK] Seq=616 Ack=226 Win=630 Len=0 TSval=449048110 TSecr=449048110","59996","4444"
"8882","7.885439128","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","42960","4444"
"8883","7.885628117","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","60150","4444"
"8922","7.891244079","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","42960"
"8923","7.891271666","127.0.0.1","127.0.0.1","TCP","66","42960  >  4444 [ACK] Seq=411 Ack=151 Win=630 Len=0 TSval=449048201 TSecr=449048201","42960","4444"
"8924","7.891339481","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","59998","4444"
"8928","7.891933965","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","60150"
"8929","7.891961622","127.0.0.1","127.0.0.1","TCP","66","60150  >  4444 [ACK] Seq=1231 Ack=451 Win=630 Len=0 TSval=449048202 TSecr=449048202","60150","4444"
"8955","7.896903551","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","59998"
"8956","7.896925761","127.0.0.1","127.0.0.1","TCP","66","59998  >  4444 [ACK] Seq=411 Ack=151 Win=630 Len=0 TSval=449048207 TSecr=449048207","59998","4444"
"8969","7.970789230","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","59928","4444"
"8989","7.976520079","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","59928"
"8990","7.976544384","127.0.0.1","127.0.0.1","TCP","66","59928  >  4444 [ACK] Seq=821 Ack=301 Win=630 Len=0 TSval=449048286 TSecr=449048286","59928","4444"
"8993","7.977556585","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","42934","4444"
"9013","7.982108873","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","58978","4444"
"9014","7.982296465","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","43060","4444"
"9015","7.982316998","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","42934"
"9016","7.982340744","127.0.0.1","127.0.0.1","TCP","66","42934  >  4444 [ACK] Seq=411 Ack=151 Win=630 Len=0 TSval=449048292 TSecr=449048292","42934","4444"
"9017","7.982453188","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","59988","4444"
"9045","7.985617880","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","60338","4444"
"9050","7.986049286","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","60294","4444"
